source	interaction	target
GSK3B	1	LRP6
MAPK8	-1	YWHAZ
BCL2	-1	BECN1
CHEK2	-1	CDC25A
PLK1	-1	WEE1
CDK5	-1	PRKN
CSNK1A1	-1	CTNNB1
CSNK1A1	-1	CDC25A
CHEK1	1	TP53
E2F1	1	DDB2
DDB2	0	E2F1
ATM	-1	MDM2
TP53	1	PTEN
SGK1	-1	FOXO3
AKT1	-1	FOXO1
TP73	0	TP53
TP53	1	TP73
GSK3B	-1	CCND1
GSK3B	-1	MYC
IKBKB	0	IKBKG
IKBKG	0	IKBKB
CHEK1	-1	CDC25A
CASP6	0	CASP8
CASP8	1	CASP6
CDK1	1	CSNK2B
DYRK2	1	TP53
TBK1	1	IRF7
MAVS	1	TBK1
TBK1	0	MAVS
TLR5	1	MYD88
TNFRSF10A	1	FADD
CASP1	1	IL1B
CASP1	1	IL18
ABL1	-1	WRN
PIK3R4	1	PIK3C3
BID	1	BAK1
BID	1	BAX
DIABLO	-1	XIAP
CDK1	0	WEE1
WEE1	-1	CDK1
XRCC5	0	PRKDC
PRKDC	0	XRCC5
MAPKAPK2	-1	HSPB1
SOCS3	-1	TRAF6
MAPK3	0	MAP2K2
MAP2K2	1	MAPK3
MAPK8	1	BMF
MAPK8	-1	IRS1
MAPK8	0	MAPK8IP1
MAPK8IP1	0	MAPK8
MAPK1	0	MAP2K1
MAP2K1	1	MAPK1
TBC1D4	0	AKT1
AKT1	-1	TBC1D4
PPM1D	-1	ATM
CCL8	1	CCR5
MAVS	1	IKBKB
FKBP8	-1	BCL2
DIABLO	-1	BIRC2
ATG16L1	1	CLTC
BIRC3	0	DIABLO
DIABLO	-1	BIRC3
FADD	1	ATG5
BIRC5	0	DIABLO
DIABLO	-1	BIRC5
FADD	1	RIPK1
RIPK1	0	FADD
HTRA2	-1	BIRC6
BIRC6	0	HTRA2
HTRA2	-1	BIRC3
HTRA2	-1	BIRC2
ATG4B	0	GABARAPL1
HTRA2	-1	XIAP
ATG4B	0	GABARAP
BIRC6	-1	DIABLO
DIABLO	0	BIRC6
CASP3	-1	IKBKB
ATG4B	1	GABARAPL2
ATM	0	IKBKG
BIRC2	-1	CASP7
BIRC3	-1	CASP7
ATM	1	H2AX
H2AX	1	MDC1
BIRC5	-1	CASP9
GRB2	0	EGFR
CASP3	1	ROCK1
TAB2	0	TRAF6
TRAF6	1	TAB2
MAP3K7	0	TAB1
TAB1	1	MAP3K7
BIRC3	-1	CASP9
BIRC6	-1	CASP3
PINK1	1	BECN1
WDFY3	1	ATG12
MAP3K7	0	TAB2
TAB2	1	MAP3K7
MAP3K5	1	DAXX
DAXX	0	MAP3K5
FAS	1	DAXX
DAXX	0	FAS
WDFY3	1	SQSTM1
BCL2L2	-1	BAK1
CASP7	-1	PARP1
BCL2L2	-1	BAX
VMP1	1	BECN1
TRAF2	1	MAP3K5
MAP3K5	0	TRAF2
RPS6KA3	-1	TSC2
RPS6KA1	-1	TSC2
MAPK3	-1	TSC2
BECN1	1	AMBRA1
AMBRA1	0	BECN1
IKBKB	0	TRAF2
TRAF2	1	IKBKB
BAK1	1	HTRA2
CASP6	-1	LMNA
BAD	-1	BCL2L2
BCL2L11	-1	BCL2L2
BCL2L11	-1	BCL2
BID	-1	BCL2L1
BCL2L11	-1	BCL2L1
BCL2	-1	BAK1
BCL2L11	1	BAK1
BCL2L1	-1	BAK1
BAK1	0	BCL2L1
TRAF2	1	RIPK1
RIPK1	0	TRAF2
RIPK1	0	TRADD
TRADD	1	RIPK1
CDK1	-1	PIK3C3
CDK5	-1	PIK3C3
DYNLL1	-1	AMBRA1
ULK1	1	AMBRA1
MAPK1	1	RPTOR
PLK1	-1	FBXO5
BTRC	-1	FBXO5
HIF1A	0	EGLN1
EGLN1	1	HIF1A
HIF1A	0	EGLN3
EGLN3	-1	HIF1A
HIF1A	0	EGLN2
EGLN2	-1	HIF1A
VHL	-1	HIF1A
CAND1	-1	CUL1
WNT5A	1	FZD5
AKT2	1	TWIST1
GSK3B	0	FRAT1
FRAT1	1	GSK3B
ATM	0	WRN
CSNK2A1	1	CTNNB1
CDK11B	-1	EIF3F
PPM1D	-1	H2AX
ABL1	-1	TERT
TRIM28	-1	STAT3
RB1	-1	E2F1
E2F1	0	RB1
DDX5	1	TP53
DDX5	1	HDAC1
IKBKE	-1	NFKBIA
JAK1	1	STAT3
PLK1	-1	PKMYT1
PKMYT1	0	PLK1
CHUK	1	NFKB2
CD40LG	1	CD40
LTBR	0	LTB
LTB	1	LTBR
LTBR	1	MAP3K14
BCL3	1	NFKB2
BCL3	1	NFKB1
CDK2	-1	FOXO1
TP53	0	EP300
EP300	1	TP53
CD40	1	TRAF2
AKT1	1	FOXO3
AKT1	1	FOXO4
SIRT1	1	FOXO1
KL	-1	INSR
KL	-1	IGF1R
AKT1	1	EP300
CHUK	1	CREBBP
BECN1	1	PIK3C3
SIAH1	-1	CTNNB1
MAP3K7	0	TRAF2
TRAF2	1	MAP3K7
PRKD1	1	HSPB1
GSK3B	-1	CTNNB1
MAPK3	-1	BCL2L11
MAPK1	-1	BCL2L11
DDIT3	1	BCL2L11
CASP8	1	CASP7
BID	0	CASP8
CASP8	1	BID
CASP7	0	CASP9
CASP9	1	CASP7
MAPK3	1	CEBPB
MAPK1	1	CEBPB
BNIP3	-1	RHEB
CSNK1A1	1	CREB1
BCL2L1	0	BAD
BAD	-1	BCL2L1
FADD	1	CASP10
CFLAR	-1	FADD
CASP3	1	CASP6
CASP6	0	CASP3
SIRT1	1	FOXO3
ATM	1	FBXO31
BCL2	0	BAD
BAD	-1	BCL2
BCL2	-1	BAX
BAX	0	BCL2
BCL2L1	-1	BAX
JAK1	0	IL4R
IL4R	1	JAK1
RPS6KA4	1	FOS
IL4R	1	JAK3
JAK3	0	IL4R
NEK11	-1	CDC25A
IL3RA	1	JAK2
PDPK1	1	PRKCA
PIAS4	-1	STAT1
STAT6	1	GATA3
MAPK3	1	RPS6KA5
ISG15	0	STAT1
STAT1	0	ISG15
IKBKB	-1	NFKB1
NFKB1	0	IKBKB
MAP3K8	1	MAP2K1
MAP3K8	1	MAP2K2
BTK	-1	TIRAP
PDK1	1	SGK1
SGK1	-1	FOXO1
CDK1	1	KAT5
EIF2AK2	-1	EIF2S1
EIF2AK4	-1	EIF2S1
DDX58	1	MAVS
MAVS	0	DDX58
IRF3	0	TBK1
TBK1	1	IRF3
MAPK8	1	JUN
CAPN1	0	ATG5
HSPA5	-1	EIF2AK3
EIF2AK3	1	ATF4
MAP2K6	1	MAPK11
HSPA5	-1	ERN1
HSPA5	-1	ATF6
PRLR	1	JAK2
LEPR	1	JAK2
IL5RA	1	JAK2
CREB1	1	CREBBP
CREBBP	0	CREB1
CAPN2	0	ATG5
CSNK1E	1	DVL1
CSNK1D	0	PER2
AKT1	-1	ZFP36L1
RPS6KA4	1	CREB1
TRIM28	0	STAT1
MEN1	1	KMT2A
KMT2A	0	MEN1
GZMA	-1	SET
SIRT1	-1	RELA
SET	-1	NME1
SIRT1	-1	RELB
BMI1	1	RNF2
STAT1	-1	CREBBP
CREBBP	0	STAT1
GZMA	-1	APEX1
PHF1	1	SUZ12
PRKCA	1	MAPK1
MAPK1	0	PRKCA
SRC	1	EGFR
CYLD	-1	IKBKG
IKBKG	0	CYLD
MAPK11	1	ATF2
PPM1D	1	MDM2
BIRC2	1	IKBKG
RPS6KB1	0	MTOR
MTOR	1	RPS6KB1
ITCH	-1	CFLAR
BLM	1	FANCD2
FANCD2	0	BLM
GRB2	1	SOS1
SOS1	0	GRB2
AURKA	1	BRCA1
ATM	1	ATF2
NEDD8	1	CUL2
RPS6KA4	1	RELA
PDPK1	1	AKT1
CDC7	1	MCM2
CTNNB1	0	EP300
EP300	1	CTNNB1
EP400	-1	KAT5
PRKDC	1	HNRNPU
SIRT1	1	NCOR2
SIRT1	1	NCOR1
FBXW7	1	NOTCH1
CTNNB1	1	TCF7L2
MAPKAPK2	1	CREB1
NLK	-1	TCF7L2
PRKCQ	1	CARD11
AKT1	1	YBX1
MAP3K7	1	NLK
CHEK1	-1	TLK1
LIMK1	1	CFL2
ROCK1	1	LIMK2
LIMK1	-1	CFL1
LIMK2	-1	CFL1
LIMK1	0	ROCK1
ROCK1	1	LIMK1
TRAF6	1	TAB1
KPNA2	1	IRF1
IRAK1	1	IRF7
TLR2	1	TICAM2
TICAM2	1	MYD88
HNRNPK	1	TP53
BIRC2	-1	MAP3K14
BIRC3	-1	MAP3K14
BIRC2	1	RIPK1
BIRC3	1	RIPK1
BIRC7	-1	DIABLO
TLR10	1	MYD88
IRAK1	0	MYD88
MYD88	1	IRAK1
TLR8	1	MYD88
ELAVL1	1	CCNA2
HIF1AN	-1	HIF1A
MAPK3	1	HIF1A
MAPK1	1	HIF1A
KDM1A	-1	TP53
NF1	-1	HRAS
RNF135	1	DDX58
TELO2	1	MTOR
TELO2	1	ATM
GADD45A	-1	CDK1
CDK1	1	CDC25A
CDC25A	0	CDK1
TRIM28	1	MDM2
CHEK1	1	CLSPN
CLSPN	0	CHEK1
EP300	1	HIF1A
TLR9	1	MYD88
TLR7	1	MYD88
ATM	1	BLM
MAPK7	1	NR4A1
IRAK1	0	IRAK4
IRAK4	1	IRAK1
CDK2	-1	CDKN1A
CDKN1A	0	CDK2
ATM	1	SP1
ATM	1	SMC1A
MAP2K5	0	MAP3K3
MAP3K3	1	MAP2K5
ATM	-1	MDM4
MDM4	0	MDM2
MDM2	0	MDM4
MDM4	-1	TP53
APEX1	1	STAT3
APC	-1	CTNNB1
NEDD8	-1	CUL4A
ATR	1	ATM
MAPK8	1	ITCH
AURKA	1	CDC25B
CDK1	1	CDC25B
CDC25B	0	CDK1
PLK1	-1	CLSPN
ATR	1	FANCD2
DTL	1	CUL4A
CAND1	-1	CUL4A
PLK1	1	CDC25C
MAP3K5	0	TRAF6
TRAF6	1	MAP3K5
PLK1	1	FOXM1
CCNB1	0	FOXM1
FOXM1	1	CCNB1
FOXM1	1	CDC25B
ECT2	1	RHOA
RHOA	1	ROCK1
ROCK1	0	RHOA
ATM	1	PRKDC
TXN	-1	MAP3K5
MAP3K5	0	TXN
CDKN1A	-1	PCNA
WSB1	-1	HIPK2
YAP1	1	TP73
ITCH	-1	TP73
ATM	-1	SIAH1
CDK2	-1	RB1
HIPK2	0	CTBP1
MAPK8	-1	CTBP1
ABL1	1	YAP1
E2F1	1	RELA
PLK1	-1	BORA
BORA	0	PLK1
BUB1	1	PLK1
AURKA	1	PLK1
NEK2	1	NDC80
PTPN2	-1	STAT3
PTPN2	-1	STAT1
PTPN2	-1	KDR
DUSP1	1	MAPK14
MAPK14	0	DUSP1
MAPK14	1	FOS
MAPK14	-1	EGFR
MAPK14	1	USF1
MAPK14	-1	CDC25B
SIRT1	-1	TP53
CDK1	1	CSNK2A1
CSNK2A1	0	CDK1
SRC	1	STAT3
CTNNBIP1	-1	CTNNB1
JAK1	1	STAT5A
AKT1	1	TERT
HIPK2	1	PML
ATM	1	TERF1
CDKN2C	-1	CDK6
RAD17	0	ATM
ATM	1	RAD17
MYC	-1	CDKN2A
CDKN2C	-1	CDK4
ATR	1	TP53
TP53	0	MDM2
MDM2	-1	TP53
FOXO3	0	SHC1
SHC1	0	FOXO3
NBN	0	ATM
ATM	1	NBN
TP53	1	CDKN1A
CDKN1A	0	TP53
TP53	1	BAX
BRCA1	0	ATM
ATM	1	BRCA1
TP53	0	ATM
ATM	1	TP53
CHEK1	-1	CDC25C
CHEK2	-1	CDC25C
ATM	1	RAD9A
BRCA1	1	RBBP8
ATM	1	CHEK2
ATM	-1	RBBP8
GSK3B	-1	HSF1
UBE2I	1	SUMO1
RELA	0	CREBBP
CREBBP	1	RELA
SUMO1	1	TRAF6
PPP1R1B	-1	PPP1CA
TRAF6	-1	MYB
CDK2	-1	ZBTB16
CDK5	1	ATM
CDK5	-1	CDK5R1
CDK5R1	0	CDK5
AKT1	1	NUAK1
NPM1	1	CDKN2A
CDKN2A	0	NPM1
BAZ1B	1	H2AX
ATR	1	FANCA
PPP1CA	1	RB1
CDK2	-1	LIG3
MDM2	-1	HNRNPK
GZMB	1	BID
PAK2	1	ABL1
CYCS	1	APAF1
ABL1	1	PRKD1
PRKD1	0	ABL1
ABL1	-1	PLCG1
PLCG1	0	ABL1
ABL1	-1	PLSCR1
ABL1	1	PDGFRB
AKT3	-1	AKT1S1
GNRHR	1	GNAS
GNRHR	1	GNA11
GNRHR	1	GNAI1
ABL1	1	NCOA3
ABL1	1	MUC1
ABL1	1	NCK1
NCK1	0	ABL1
ABL1	0	LGALS3
ABL1	-1	MDM2
ABL1	1	ESR1
ABL1	1	RACK1
ABL1	1	EGFR
ABL1	-1	DDB2
AURKB	1	INCENP
INCENP	0	AURKB
PRKCD	1	ELAVL1
ABL1	1	CBL
CBL	0	ABL1
PGR	1	ESR1
ABL2	1	CAT
HDAC6	-1	ELAVL1
SRC	0	HNRNPK
STK4	1	FOXO3
AURKB	-1	BIRC5
NEK2	1	CTNNB1
AURKB	1	RACGAP1
AURKB	-1	VIM
NEK2	1	NEK11
ABL1	1	WASF3
SRC	1	PIK3CA
PIK3CA	0	SRC
ABL2	1	SIVA1
ABL2	1	RIN1
RIN1	0	ABL2
ABL1	-1	ROBO1
ABL1	1	RAD9A
ABL1	1	RAPGEF1
ABL1	1	PTPN6
PTPN6	0	ABL1
PSTPIP1	0	ABL1
ABL1	1	PSTPIP1
SRC	1	AR
CCNE1	0	CDK2
CDK2	-1	CCNE1
GSK3B	-1	CCNE1
PKMYT1	-1	CDK1
STAT3	0	EGFR
ERBB4	1	STAT5A
ERBB2	-1	CDK1
TNFAIP3	-1	TBK1
TRIM25	1	DDX58
TNFAIP3	-1	IKBKE
TGFBR2	1	SMAD2
SMAD2	0	TGFBR2
TGFBR1	1	SMAD3
TGFBR1	1	SMAD2
SMAD2	0	TGFBR1
AKT1	1	SMAD3
LATS1	-1	YAP1
STK3	1	LATS2
HSP90AA1	1	AKT1
AKT1	0	HSP90AA1
RASSF1	1	STK3
STK3	1	LATS1
SRC	1	CAV1
CAV1	0	SRC
ATM	1	RASSF1
CAV1	0	EGFR
AKT1	-1	HSPB1
HSPB1	-1	NFKBIA
MAPKAPK3	1	HSPB1
MAPK1	0	MAPK14
MAPK14	-1	MAPK1
MAPK3	0	MAPK14
MAPK14	-1	MAPK3
ARAF	1	MAP2K2
BRAF	1	MAP2K1
MAP2K1	0	BRAF
RAF1	1	MAP2K2
MAP2K2	0	RAF1
BRAF	1	MAP2K2
MAP2K2	0	BRAF
MAPK1	-1	BRAF
ARAF	1	MAP2K1
MAP2K1	0	ARAF
RAF1	0	MAPK1
MAPK1	1	RAF1
MAPK3	1	RAF1
MAPK1	0	MAP2K2
MAP2K2	1	MAPK1
MAPK3	1	RPS6KA1
RPS6KA1	0	MAPK3
RPS6KA1	-1	BAD
MAPK3	-1	BRAF
UBE2N	1	TRAF2
TRAF2	0	UBE2N
UBE2N	1	TRAF6
TRAF6	0	UBE2N
TRAF2	1	BIRC3
BIRC3	0	TRAF2
MAPK8	1	SP1
ABL1	1	CASP9
SPI1	1	ITGAM
ABL1	1	CAT
ABL1	1	APBB1
PLK1	1	CCNB1
ABL1	1	ABL2
ABL1	1	ABI1
ABI1	0	ABL1
CHEK1	1	FANCD2
SRC	1	ABL1
IL7R	0	JAK3
JAK3	1	IL7R
PLK1	1	CHEK2
AURKA	-1	RASSF1
RUNX1	1	CSF1R
RUNX1	1	IL3
OTUB1	-1	UBE2N
RUNX1	1	MPO
GATA1	-1	SPI1
SPI1	0	GATA1
ATM	0	EIF4EBP1
ATM	1	RPA2
ATR	1	MCM2
ATM	1	MCM3
ATM	-1	CREB1
PPM1D	0	TP53
PPM1D	-1	CHEK1
AKT1	1	MDM2
AKT1	1	GSK3B
GSK3B	0	AKT1
MAPK1	-1	CASP9
AKT1	-1	RAF1
BAK1	1	CYCS
BAK1	1	DIABLO
BAX	1	HTRA2
BMF	-1	BCL2L2
IKBKE	1	IRF3
KEAP1	-1	NFE2L2
NFE2L2	0	KEAP1
CASP3	-1	PARP1
MAPK1	1	STAT3
MAPK3	1	STAT3
BAX	1	CYCS
BIRC5	-1	CASP3
ATM	1	TP53BP1
RB1	-1	E2F2
BAG4	-1	TNFRSF1A
TRAF2	0	TNFRSF1B
BTRC	-1	WEE1
PRKDC	1	WRN
PRKDC	1	H2AX
BAG1	1	BCL2
DUSP5	1	MAPK3
ATR	1	BRCA1
ATR	1	CHEK1
MAP2K6	0	MAP3K4
MAP3K4	1	MAP2K6
GADD45B	1	MAP3K4
MAP3K4	0	GADD45B
BAG1	-1	PPP1R15A
MAP3K4	1	MAP2K4
CSNK1A1	1	TP53
CDK2	0	CDC25A
CDC25A	1	CDK2
CASP3	0	XIAP
XIAP	-1	CASP3
BIRC3	-1	CASP3
XIAP	-1	CASP9
NFE2L2	1	HMOX1
ATR	1	RAD17
AURKA	-1	TP53
EGR1	1	TP53
H4C1/H4C2/H4C3/H4C4/H4C5/H4C6/H4C8/H4C9/H4C11/H4C12/H4C13/H4C14/H4C15/H4-16	1	TP53BP1
FAS	1	FADD
FADD	0	FAS
FASLG	1	FAS
TNFSF10	1	TNFRSF10D
TNFRSF10D	0	TNFSF10
TNFRSF10B	0	TNFSF10
TNFSF10	1	TNFRSF10B
TNFRSF10A	0	TNFSF10
TNFSF10	1	TNFRSF10A
TP53	1	DDB2
TNFRSF10B	1	FADD
RIPK1	0	TNFRSF1A
TRADD	0	TNFRSF1A
FADD	0	TRADD
TRADD	1	FADD
TRADD	1	TRAF2
BIRC2	-1	CASP9
SHH	-1	PTCH1
BLVRA	1	PRKCB
INSR	1	IRS1
PIM1	-1	BAD
PTCH1	-1	SMO
CHEK2	1	BRCA1
RPA1	1	BRIP1
MAP2K3	1	MAPK14
MAPK14	0	MAP2K3
UBE2N	1	H2AX
MAP3K5	1	MAP2K3
HSPA1A	-1	APAF1
GADD45A	-1	MAPK14
BARD1	1	BRCA1
CASP3	0	CASP9
CASP9	1	CASP3
AKT1	0	TCL1A
TCL1A	1	AKT1
EIF2AK4	-1	EIF2A
EIF2AK3	-1	EIF2A
SRC	1	CDC42
SRC	1	HRAS
CDC42	1	MAP3K1
MAP3K1	1	MAP2K4
MAP3K1	1	MAP2K7
MAPK8	-1	BCL2L1
BCL2L11	1	BAX
TRAF3	-1	MAP3K14
MAP3K14	0	TRAF3
XIAP	-1	CASP7
EIF2A	1	ATF4
EP300	1	STAT3
PIAS1	1	STAT1
PIAS3	1	STAT3
RIPK1	0	CASP8
CASP8	-1	RIPK1
JAK1	1	STAT1
MAP2K7	1	MAPK8
MAPK8	0	MAP2K7
MAPK14	1	DDIT3
USP7	1	TP53
XAF1	-1	XIAP
CDK4	0	CCND1
CCND1	1	CDK4
TP53BP2	1	TP53
AKT1	-1	BAD
BAD	0	AKT1
AKT1	-1	CASP9
AKT1	0	PDK1
PDK1	1	AKT1
MAPK8	-1	BAD
AKT1	1	CREB1
MAPK8	1	BID
PMAIP1	-1	BCL2
PMAIP1	-1	BCL2L1
SH3GLB1	1	BAX
WNT5A	1	ROR2
MDM2	0	CDKN2A
CDKN2A	-1	MDM2
PAK1	1	CTNNB1
CFLAR	-1	CASP8
CDC42	1	PAK1
PAK1	0	CDC42
RAC1	1	PAK1
PAK1	0	RAC1
BAX	1	DIABLO
CHEK2	1	E2F1
APAF1	1	CASP9
FADD	1	CASP8
CASP8	0	FADD
ATM	1	FANCD2
RAC2	1	PAK1
NCK1	1	PAK1
PAK1	0	NCK1
PPM1F	-1	PAK1
TTI1	0	MTOR
F2R	1	GNA13
ATG3	1	GABARAP
ABRAXAS1	1	BRCA1
MAPK8	1	H2AX
AXIN1	1	MAP3K1
RET	1	SHC1
HDAC1	0	GFI1
GABARAPL1	1	SQSTM1
BTK	0	IRAK1
TTI1	0	TELO2
MTOR	0	GPHN
MAP2K3	0	PLCB2
CARD11	1	MALT1
ATM	0	AP1B1
CARD16	0	CARD8
CTNNB1	1	LEF1
LEF1	0	CTNNB1
JUN	0	ATF2
ATF2	0	JUN
CDH1	1	CTNNB1
CTNNB1	0	CDH1
MEN1	1	FANCD2
CD28	0	CD80
CD80	1	CD28
CD86	1	CD28
BABAM1	0	BABAM2
CUL4A	0	DDB2
SMG1	0	TELO2
SH2B2	1	CBL
BRCC3	0	BABAM2
CD28	1	GRB2
NLRP1	0	PYCARD
MAML1	1	RBPJ
MAP2K6	0	PLCB2
MET	1	GAB1
GAB1	0	MET
CD40	0	TRAF6
CD40	1	TRAF3
BRIP1	1	BRCA1
NLRP3	0	PYCARD
GABARAP	0	ATG7
ATG7	1	GABARAP
ATG7	1	GABARAPL2
GABARAPL2	1	ATG7
MAP1B	0	MAP1LC3B
ATR	0	TELO2
DVL1	1	RAC1
RASSF1	1	MST1
RPA1	0	BLM
ABL1	1	CRK
CRK	0	ABL1
GABARAPL2	1	SQSTM1
MTOR	0	FKBP1A
FKBP1A	-1	MTOR
SMARCAD1	1	TRIM28
RUBCN	-1	PIK3C3
RCOR1	1	REST
BCL10	0	CARD11
CARD11	0	BCL10
SH2B2	0	GRB2
PINK1	1	PRKN
GRB2	1	GAB1
GAB1	0	GRB2
CDC73	1	CTNNB1
MAP1LC3A	1	SQSTM1
AXIN1	1	CTNNB1
ERBB2	0	EGFR
MAX	1	MYC
BTK	0	MYD88
KAT5	0	RUVBL2
TYROBP	0	KLRC2
NBR1	1	GABARAP
